Class Index,Title,Description
7,-,Menu illustration is excellent.  Food is a bit bland.
5,-,Good for day drinking
1,-,Lots of options
5,-,Good wings and beer
8,-,"I was craving some enchiladas, and these weren't very good."
8,-,"I love the Mr Sub sub.  Great price, and the bread is fantastic.  Wish there was more meat!"
7,-,"Went here based on all the positive reviews. Tiger Cry is good, but not the standout in was expecting from all the mentions. Papaya salad was a tasty appetizer alternative. Tried peanut lover and Penang curry for the entrees. The sauces they make are clearly richer and note flavorful than a lot of Thai places, that was the biggest difference I noticed. It is BYOB - go just north for a good selection."
3,-,"This used to be a great place to go. The last few times we have been there have not been good experiences. Lost food orders, wrong dishes served, overcooked chicken, light staff servers and kitchen makes for a long wait. Bartender extremely slow and the bar us not busy. He forgets orders, happened last night with our group of 7. Saw the waitress give him the drink order. Both the waitress and bartender forgot the order ands had to be reminded. Think we are all done with this place. Additionally the place is up for sale so possibly they no lo get have the interest in retaining customers. 4 of us had the fried chicken which was very dry."
7,-,"Food was good, but not great. Had the 4 course bento box as offered on gdine. The pork + chicken adobo was ok, sauce was too heavy and sweet. One of the other options in the box, NY strip, was much better. There was a mix up with the gdine reservation which was partially our fault, but the staff did not understand the restrictions and ended up charging us full price. It took several conversations with the manager before he honored the lunch special. Very nice atmosphere and dining experience, but prices still seem high for the food quality."
2,-,Got brunch here with friends. Traditional brunch food but the best part was the Bloody Mary 👍
6,-,Korean chicken wings and bowls. SPECIAL
2,-,"Hole in the wall, amazing food, great view of the city just outside the doorsteps!"
3,-,Very good fresh quality food!
6,-,Good bar and bar food
5,-,Great for a pint and burger year round
3,-,This is a really nice store with some unique items. Apparently they support people from Africa who hand make some of these items. If your looking for something different for a friend or loved one please check them out.
3,-,"Located within the Galena Territories is this very peaceful area. Just enjoy the water cascading over the falls and running along the creek below. Have a seat, relax and enjoy."
3,-,Plain old good home style food.
8,-,"The tenders were great.  I had the medium, which had a nice little kick to it.  I'll probably try the hot next time.  I liked the potato salad better than the coleslaw.  The bartender was great, but they serve the beer in plastic cups.  They should get some proper glassware."
6,-,"A famous ol place which pleases the crowd, and it is crowded.  If your a regular it gets a little old, and its not special. But if your from out of town or gave guests its a special place"
3,-,Very clean store with easy to find items. Just stopped in for some fruit.
7,-,Great food and service. Outstanding pork shoulder served with pearl shaped pasta and yogurt. Very difficult to get a table unless you go very early or very late.
6,-,"A good Argentine bar, brought to you bodega sur group.  Definitely for locaks and interesting"
4,-,Good variety of things to eat
3,-,Waiting on the ladies looming for makeup.
7,-,Everything at scale.
1,-,The drive through girl was super nice
7,-,Imposing structure. Fascinating information on the plaques surrounding and inside the tomb.
8,-,"One of the best places for craft and imported beers in the city, whether you're drinking it there, or taking it home.  Always something fantastic on draft, and the bartenders are great."
2,-,I got the gigantic peanut butter cookie with a milk and it was a magical combination
6,-,"Good for salad, Italian beef and sausage combo and their chocolate cake.  Hot dogs are average.  Good service and fast and clean"
1,-,It's a McDonald's
6,-,"Five stars?  the food satisfies a gourmond, its delicate, adventuresome, well prepared and interesting.  The dining room is well layed out, sxcept the banguets, with generous spacing.  The wine list and service was outstanding, with interesting wines by the glass which makes pairing more eventful. The wine staff is superb"
3,-,"Amazing fun filled afternoon of German food, treats and shopping."
6,-,"All right, nothing special. An American gastro pub"
6,-,"The latest thing is specialty Musuems which have an interactive and small room feel. Two in Chicago,  the wndr and nevermore.  They are great, but unless you have different guests I'm imaging the experience doent change. Definitly go and you will find it special for all ages."
3,-,Ordered two steak dinners to take home due to the current situation. Drove 15 miles home and opened the sack. The aroma was killer on the drive. Dug into a excellent meal salad crisp and fresh and the ribeye was still hit and cooked to a just right medium rare.  Well done to the entire staff. What a great experience.
1,-,Always great
3,-,A simple neighborhood dinner offering reasonably priced options. Breakfast always served. Had the Steak& Egg w/homefries priced everyday at $7. Good eats.
4,-,All the food is great
9,-,Huge big screens! Has a pizza place connected to it. Popular with the local college crowd later at nite.
2,-,"Good sports bar especially for soccer, I got the wings and a cocktail and wasn't that impressed, but good vibe for sports nonetheless."
2,-,"Mozarello on sushi, amazing."
2,-,Holy breakfast tacos
6,-,A nice break from the coffee shops
5,-,Honey black pepper short ribs. These words will alter your consciousness
7,-,"Menu and beer seem fine, nothing really stood out."
7,-,"Like most mid-range Lettuce Entertain You restaurants nothing is bad, and nothing is that great either. Spend a little more and go to a steak house for high quality steaks if that is what you are looking to get."
4,-,Good food and good fun always
7,-,"Solid bridge, did not fall into the river."
7,-,Pizza was decent. They need to rethink the seating/lounge area. Good service.
9,-,"Cool spot, good prices, nice stop on a bike ride"
4,-,The shrimp and grits were off the chain
2,-,"Stopped in for a beer with friends, good vibe. Must try the pizza on my next visit!"
5,-,Hosting my wedding here!
3,-,Located just south of Lincoln's New Salem is this small quick stop convenience store. Stocked with a few essentials and a good selection of drinks and snacks. They make Hunt Brothers pizza fresh to order. This crust is pretty tasty. Additional they having video gambling and beer.
2,-,A unique mix of happy camper and homeslice in the heart of wicker park. Great pizza selection with awesome cocktails. The addition of another pizza place is warmly welcomed to maybe just maybe be just as good as piece brewery right next door.
3,-,"Walking in the door ya get a sample of fresh caramel corn. Then you see shelves and more shelves and then barrels of popcorn. Then it hits ya...there is a tall gentleman behind the counter trying to coax and entice ya into spending all your hard earned money on popcorn. I'm pretty sure he had to have sold cars at one time. Well doesn't matter how many customers he harassed people including me were emptying there life savings just to buy some of this amazing popcorn. I walked out with the Hot Cinnamon flavor. Side note they didn't sell plain popcorn. The guy yells at my wife saying you would go to Baskin Robbins and buy Vanilla. Boy was he ever wrong, that's exactly what she would buy!"
3,-,"Occasionally I have to head to Gabatoni's to grab a medium thin crust sausage, mushroom,  green pepper and onion pizza. Never been disappointed with this choice. Flavorfull and a nice light greasy touch. So good."
2,-,"Fantastic idea. It's a mix of lacrosse minus the running part 🙂 great beer selection and bar food. Bowling, arcade games, it allows you to be a child while being an adult!"
7,-,"One of the better steaks in the city, had to return one that was overcooked, but overall a very good experience."
7,-,"One of the few places that makes cazuelitas. Ceramic crock with cheese and meat or veggies. Served with homemade corn tortillas you make your own tacos. Must try. Micheladas were tasty as well. Overall, a cool taqueria hidden away on Ashland and Monroe."
2,-,Ricotta Pillows for the win
3,-,Can someone please explain how anyone can walk into the store and make it outside again without making a purchase. Yes I melted a credit card here. Bit it was worth it to make someone happy.
4,-,"What beautiful cars they have, wish I had one"
8,-,"The chicken fingers were fantastic.  If you like fried chicken, you have to try this place.  I think they're breading the chicken with magic.  I wasn't as much a fan of the spaghetti.  The sauce is too sweet for me.  The other must try is what they call ""Fiesta Noodles"".  It's the fast food version of a Filipino dish called Polabok, and it's delicious."
3,-,"Very rude, left without making a purchase."
6,-,An architecture must see and in Chicago a free event every night in the summer
8,-,Decent beer list.  This place has to have the best happy hour in the city.  $2.50 for EVERYTHING!!!
3,-,"Sunrise is a very good diner serving quality food. Breakfast served all day. Always a special is thw double cheeseburger and fries. Food is cooked to order and served as soon as plated, always hot. Delicious can't go wrong here."
7,-,Very busy during most business hours but service is fast.
3,-,Items from all over the world. Good stuff however prices are quite high compared to chicago stores.
3,-,Chicken bowl pretty good. Bag of chips to go with it extremely salty and inedible. Nasty!
6,-,Good barbeque on a limited menu. Only open till 2 or 3 on and crowded
4,-,There when you need them
1,-,Bard opticle has really good help working for them.
7,-,"Seems like a good place, will try again not at the end of the night."
3,-,Met a group of people here tonight.we we're seated in the game room which gave us plenty of room. Had a bowl of their tavern chilli which was quite good. Have to come back another time and enjoy a meal. Food that was brought out to our table looked really good for bar food. People in the group all said food was good.
7,-,Really great outdoor space. Tried a variety of dishes and everything was good. They are very strict with seating and masks which was helpful.
1,-,Little expensive but cool
3,-,"First time walking through the doors.  You are immediately looking at glass that is at least eye level with various cupcakes behind the glasd sitting on small pedestals. The appearance of the cupcakes looks professionally decorated with a mound of icing. The young sales girl inquires, is this your first time. Yes. Well all cupcakes are.$3.75 each. I guess they want you to adjust quickly to the high prices. Anyway we each choose our cupcake and ordered a coffee. Price at the register was $9.75 without a thank you for your order. As for the Cupcake it was moist, flavorful and had way too much icing for me. Icing was super sweet. Overall I'm sure others will enjoy this place. Me probaly not,  I'm really not a cake person so I don't see myself returning."
5,-,Good brunch stop. Great drink and food selection
5,-,Good for the pricetag
6,-,A fast food hoagie shop. I prefer most of my hoagies cold and they bake them
6,-,Good for morning jogs and a simple snack. Very lovely
3,-,Absolutely delightful learning about the places along Route 66. Definitely a  must stop location.
3,-,Nice place for fresh produce. Worth the stop.
2,-,Burritos here have cured many a hangover
5,-,Staff was pretty inept
6,-,It is one of the different type of steakhouses.  French style with anerican cuts. It has a great assortment of interesting and artinal appetizers and sides. They also have a great kunch special and the sell cuts of meat retail.  The meak had an important miss in too salty beef tartare and the seating is a bit to crowded. Still i would try it again.  The winner  short rib beignets
9,-,It's family video
4,-,Everything you need for beauty
6,-,"Typical Barnes and Noble, but getting harder to find"
7,-,Now that it's finished it's a great place to walk and view the skyline from a totally different perspective.
1,-,Got a bunch of money?
1,-,Nice dive but super busy on weekends.
3,-,Went there for one specific items which clearly said 20% that item. Nope rang up regular and wouod not discount it. I went backntook a photo of the sign and explained this sign is clearly 20% off. Send someone over to validate it and please apply the correct discount. These two ladies weren't happy about it but did apply the 20% to our purchase. As we walked off one told the other to go remove the sign. Buyer beware.
7,-,"Tried this relatively new place in the nw corner of the Loop. Clean, well lit environment. Staff is very friendly. Small, easy to understand menu. The pockets(?) are pretty good, obviously freshly made in front of customers. Ingredients are good and veggies are still crisp after cooking the dough. I wouldn't suggest eating on the go, the bottom was a bit soggy and ended up falling apart."
1,-,Better than Morton
7,-,"Cool space. Very nice sake selection. Seems like more of a place to grab drinks, the food was ok, not commensurate with the prices. The short ribs were a standout however."
9,-,Amazing burger basket deal!!! Great prices on draft beer! Popular with the college crowd.
6,-,A Pittsburgh bar in chicgo. A leftover from the bluecoller industrial days. Wood Interior and old overshoot with a beer chaser
3,-,"Really a nice place, nice variety of art both in figurines, wall hangings, photography and paintings. Also they offer full service framing for your purchases and our any art work you may currently own. Great staff. Stop in and find something unique for your home or office. Also a great place for gifts."
8,-,One of my favorite beer bars in the city.  Try the Bomb Sandwich.  It's a meat lover's dream!
7,-,"Best fish quality at any Chicago sushi restaurant (along with Mirai - same executive chef).  They spent a lot of the look and ambiance, but the food can back it up."
1,-,Food was decent service was awful price was worse.
7,-,"Went based on recommendation for their micheladas. For a $3 Tecate to become a $8 cocktail it better be pretty good, but nothing about it was distinguished. Maybe a bit milder than the ones you will find at a taqueria and definitely less spicy. Shared chilaquiles and an omelette for lunch, both were good."
7,-,"Decent collection but not really on par with the Art Institute, much smaller facility. Murakami exhibit is very good."
3,-,"First time here, friendly greeting up arrival, helpful non pushy staff. Enjoying a great workout. Place is well kept. Interestingly people are working out and not on their phones. Amazing"
6,-,"Great Italian bakery. Breads, sandwiches, cookies, small pizza and cannoli"
4,-,It was a beautiful endeavor
3,-,We stopped in and checked this place out after lunch. Nothing really look that interesting to me. I passed.
6,-,A good after drinking or card game place. Pizza is average
7,-,It's the Sears tower!
3,-,Doesn't get and better than fresh roasted coffee in the morning. Great service and a nice pastry selection to go with a great cup of coffee. Well worth the stop for coffee lovers.
6,-,A small pizza and sub place. Usually not crowded. Very reasonable
6,-,Good hotel with good location
3,-,Interesting place
7,-,"Nice atmosphere, but the steaks were not impressive."
3,-,First time here stopped in menu has an extensive amount of really interesting food items. Made my order enjoyed a great meal. Had a double shot of espresso. Good food stop in and enjoy.
8,-,Nice little place.  I love their selection of ginger beer.
2,-,The dynamite wings are insane!!
6,-,An out of the way place convenient for locals at later than usual. Good bar and filling but not special food.
2,-,Nice staff with of course great coffee but not much seating at this location. I was able to grab a corner spot with a good view of the city for a couple hours :)
7,-,"Just had soup but will go back and try more, good looking menu.
Update - great burger and fries."
7,-,"Very good pan pizza, which is not the same as deep dish. Similar recipe to Burt's pizza since he founded Pequods."
6,-,"A casual Mexican, rick Bayless, inside Macy's on the 7th floor. Good food court"
1,-,Very good for the price . Good portions too .
4,-,Oh my God it's good
8,-,"The beer bar here is great!  Also, I like to stop in here for lunch sometimes.  They have so many options between the hot food and salad bar, and the pizza and sandwich spots."
3,-,Was looking for some comfortable walking shoes.
6,-,"Agood authenic chinese restaurant. Has at least three places one in chinatown, one at the bcbs building and a place on grand in river east"
6,-,A multiscreen movie playing the current movie fare. Seating is all recliner. The have a full menu including meals and alcohol
6,-,A wonderful spot in the Art Institute.  Modern styling and very special food which by nature is not too much
6,-,One of the cities better seafood places. It doent hit the highs of certain places but is predictably good.  Therefore it is a reliable 4 star.
3,-,Nice place to browse around.
8,-,This place was an ok spot to have another beer or 2 after the Cubs game.
3,-,"Neat place, enjoyed a wonderful dish tonight.
Had the spicy Cajun fish tacos with chips and salsa."
6,-,"Very good coffee shop cafe. The atmosphere is casual french and the pastries where exceptional.
A very good change of pace."
3,-,"Not to bad, wanted a quick lunch. Ordered a gyro and chicken pita."
7,-,"Drink options are fine, the nautical theme is pretty cool and unique."
3,-,Really nice place located directly on the main street through town. Timing was good today as we stopped in right after the dinner rush. Order their taco trip with three different meat choices. Also enjoyed a huge smoked chicken salad that was awesome. Sampled the 3 variations of BBQ sauce they had set out on the tables. Surprised that the sweet hot was actually pretty spicy. Definitely good food here.
2,-,Good dance club in wicker
7,-,"Great museum, takes several trips to take it all in. Modern wing is a great addition."
9,-,It's Steak 'n Shake
6,-,"A boutique wine shop, with an interesting assortment of wines and spirits.  Somwhat small, but nicely intimate."
6,-,Very average. Way overhyped
4,-,Great as always
8,-,"Just had a beer and a shot, but the bartender was great, and the place was pretty nice."
6,-,Built for a celebration. The bar is well stocked with plenty of Irish and others.  They are in the right location for a party. So bring it on. Otherwise you can do better
2,-,Awesome vibe second hand bookstore
4,-,I always wanted to stop and get a closer look. Finally got the chance. Wow
3,-,"Just ran in for a quick cake donut. Service was good and hot fresh donuts were being made. Bought my donut, took two pictures and went on my way."
7,-,"This is only for the bar - plenty of space and comfortable seating. It was not busy at all, only a few tables were taken, but the service was very slow."
3,-,"Wife is shopping, I'm having a cup of coffee.  Worst coffee ever! Very bitter,  threw it out after the second taste."
2,-,Chocolate city got me jittery!!!
6,-,A new York slice you can food over.  Buy it by the slice or the whole pie.  Good for a snack
6,-,Anything on the river walk is worth going to
4,-,I used to work there in the garage and the pool
8,-,"Furious bowl is my fave.  Delicious broth.  This place is small, so sometimes it can be hard to find a seat.  WARNING:  They play a lot of hip hop LOUD, and it can have lots of adult language."
6,-,"A good spot for after work or small gathering. The river patio is crowded, so get there a little earlier, but many inviting seating elsewhere. Drinks are more special than the food, which is at least good with drinks.  Very interesting atmosphere"
5,-,Solid steak on the menu
6,-,"An old school diner with all the trappings. They are the oldest in Chicago, but will move across the street in March 19. I hope the grease on the perfect home fries will make it in the move. Right of the green line and 3 blocks from u of c.   Breakfast is the choice, but I'll go there for dinner and see."
5,-,It's hit and miss to be honest
1,-,Nope
3,-,I am not really a fan of cookie dough. However that being said they do offer a small variety of ice cream and some candy selections. The three others I was with did purchase a scoop ($4) each of the cookie dough to try. All three said it was really good. So based on their opinions I give this a 4 star rating.
6,-,Real old school pasta place. Hurry while the breed is still alive.  Had carbonara and it was made perfectly. Salad was less stellar.
7,-,"Food was ok, didn't really standout at all."
2,-,Nice juice bar with good food options!
5,-,"Fruit and veg was great, be sure your staff has water and enough breaks, poor kids are youngins"
1,-,I love going there
3,-,"Looming for treasures, nothing fou d today."
5,-,Amazing brunch. Their breakfast pizza will change your life
3,-,Large shopping mall with numerous variety shops and some major brand name stores.
2,-,Great beer selection. The nachos and hummus are really good for sharing. Nice vibe upstairs on a sunny day
4,-,The margaritas wooooww
3,-,Needs some small nails. They had just what we were looking for in brown finish.
9,-,"Awesome spot for stopping on the bike! Huge parking lot, awesome outdoor area, got to check it out when they have a hog roast"
7,-,"No wait to eat in as most business seems to be takeout. Shared a few dishes, the lentil soup and hummus were obviously fresh made and tasted great. Will return."
9,-,"THE BEST BURGERS IN MCLEAN COUNTY, HANDS DOWN!!! Great spot, cheap beer (bud only) on tap. Cash only, but worth the trip out of Bloomington!"
5,-,Good quality food and drink
7,-,"OK place to grab a cheap drink and hang out. Older, local crowd. Yes, pretty friendly."
5,-,Great place for food and drinks
4,-,One of the best places to party in the city
2,-,Best sports bar in Logan. I recommend the Elote soup!
7,-,Although it is the only Indian option in the West Loop the atmosphere and food are good. Have had a few standout vegetarian dishes.
6,-,"A old school bar with the ambience of old Chicago. Average, but extensive food menu"
6,-,My favorite MacDonalds. Garish and large in an interesting way.  Go upstairs for a quiet coffee and watch the world
3,-,Just a typical place to gonget things you really don't need.
7,-,"New ramen shop in the west loop. Tried the spicy pork bowl and gyoza. The gyoza was cooked well, crispy edges and a little more chew to the center. I don't understand aioli sauce, traditional soy with some vinegar would work well or some chili oil. Bowl with egg was fine, decent heat while still being able to taste it. Service was a bit overbearing, assuming it's because they just opened."
3,-,"Excellent buffet,  great selection of foods to fit anyone's tastes."
2,-,Interesting vibe with great beer and food!!
7,-,"Food was fine. Name is a misnomer, there are no habaneros or jalapenos in that store."
6,-,A good little bar and pub with a good selection
9,-,"Decent place, average prices"
4,-,They had the battery I needed when no one else did
3,-,Stopped her to pick up a quicl sandwich for lunch. Good selection of freshly made sandwiches.
3,-,Im here for a seminar this evening. 1st appearances are it looks like a nice place which has a welcoming feeling upon entering. The staff were friendly and helpful with directing me to the meeting room. Overall a positive experience.
3,-,"Easy process, box it ship it."
7,-,"Good, typical Mexican fare."
6,-,An eclectic hot dog taco etc storefront.  Worth a trip
3,-,"Was meeting my wife here to drop her Cadillac SRX off for service. I arrived early and decided to browse the lot Che king out the inventory. I was greeted by Greg Squires a salesperson asking if he could answer any questions. I joking replied no the wife is getting her vehicle serviced and I was just wasting time. I commented you cannot buy a vehicle in Springfield. Greg replied you can here. So after some casual talk my wife arrived. Small conversation amongst us about my conversation with Greg. Well we walked across the lot towards the building when a certain Cadillac caught my wife's eye.  Well I don't need to continue this story,  we bought the car that night. I also had a great lengthy  conversation with the General Manager Tim Grunder, really nice guy. So my wife is the proud owner of a beautiful new Cadillac. Thanks to Greg Squires for proving me wrong."
8,-,"This is my ""go to"" for all my video game needs.  The staff is always nice."
5,-,Was just going to look. Now I have a puppy
7,-,"Average quality food, insanely large portions."
5,-,Nice people. Good selection
5,-,Botched a few orders but over all ok
9,-,"Great food, tons of beer selections, can be a bit busy when ISU is in session."
3,-,Always a great time when Lick Creek band is playing.
1,-,Nice employees.  And get what you pay for
3,-,"What an incredible interesting store. A bit of everything and a lot of something for anyone. Had fun for about an hour walking around filling our grocery cart. So many different things at a very reasonable price. Sticker shock at the cash register, I thought they way undercharged me."
3,-,"Really liked the flavor here, split a street taco platter. Very uniquely different. Overall food was right on par for being perfect in taste."
7,-,"Family style, large warehouse setting for Italian. Decent menu, but a ridiculously small wine menu for a sit-down Italian restaurant. Pasta was very average. Logistics weren't very good, bus station right next to the bathroom?"
3,-,Carryout only which was fine however we couldn't find a online menu so went elsewhere. We'll return when this current situation is over.
6,-,Good grooming materials and also good for gifts
3,-,Picking up some craft supplies for the grandkids. Place has plenty to choose from to keep the occupied.
7,-,"Thin crust is decent, service is always very good."
6,-,Very busy for a thursday. Maybe the marathon.  They were very helpful with shoes insuring all the special needs. Store is fun and a staple of michigan ave
8,-,"Beer line up is meh.  The only reason I used to go to Hooters was for their Cajun boneless wings, which they don't have anymore.  Or it might just be this location.  Bummer.  Service was good, though."
4,-,Great times and I will be there again
6,-,A very good british pub with all the requisites. It is a beautiful place with obvious tlc.  A good upstairs and a front sittin room. Pleanty of nooks for groups or watching soccer or reading a book with your pint
4,-,Service was the best
1,-,Was pretty decent. Little expensive but the overall experience was good.
2,-,Cold brew seemed rather acidic team to me and even foamy when it came out of the tap. The location is good but the chairs are like old school chairs and not that comfortable for long term sitting. I plan to try another location in the city to see if the experience is any better.
8,-,"Killer beer list, great staff, awesome food, open until 4am.  What else do you need?"
8,-,"This place is strange.  It's a little isolated from everything else, so it's mostly regulars from the neighborhood.  Beer line up is just ok.  Bartender was nice.  I didn't eat while I was there."
7,-,"Must have gone too late in the day, the pastrami was entirely burnt ends. Like really burnt."
3,-,"I like had on purchasing,  need a new phone and received excellent service."
1,-,Awsome food and prices
6,-,"A special coffee shop that rivals the best. A five room house with a comfortable place throughout.  You can get lost as if ykur in a private home and get lokst there for hours. Really conducive to working, studying or getting lost in a book. There afe a few places like it and all are worth finding.  Good Coffee and bakery"
7,-,"Prices are on the higher side, but the tacos are really tasty.  Nice mix of traditional plates with new ingredients."
6,-,An interesting place.  Good for high english tea. Very millennial and casual
2,-,Amazing pizza!
2,-,Amazing content of video editing shown on the TVs. On Fridays they have $1 tequila shots for HH
3,-,Looking for something different to eat. Food was sooo good. See ya again soon.
4,-,Nice clean and cozy place
4,-,What a restaurant
6,-,THE local supermarket. FULL service including places to eat. Fair prices and good selection. Different locations have better choices. This is one of the better.
7,-,Sandwiches were good but nothing special.
6,-,"A special botique museum on a great neighborhood side street in Lincoln Park.  A modern new building designed by a world famous architect tadao Ando.  Usually focused exhibits of social interest. The
Building is very interesting inside is of great angles and the views from the top floor area very grand."
8,-,"This place is now called Beach House Social, and they've totally changed their menu.  The burger is tasty, and the Joe's Special on the brunch menu is great.  Ok beer list."
3,-,First time having the pizza & broasted chicken buffet. Good stuff and they kept a stocked Buffett.
8,-,Cool little dive with a solid beer line up.
6,-,A extensive Russian menu. Good food and great looking for spies
7,-,"Didn't play whirlyball. Food was ok, space is enormous."
8,-,Cheap beer and shot specials.  I don't think they've cleaned the bathroom in 20 years.  The bartenders are all pretty cool.
9,-,"Awesome spot! Extremely friendly staff, great food! Awesome gem on the side of the highway!"
6,-,A nice little wine bar with an excellent small plates menu.  A small tasting room where they could hold events.
6,-,"A good hotel, well situated away from the crowds. Right on the lake within walking distance of North Michigan and navy pier"
6,-,"A no frills place with a limited selection, but good enough. A workingman's cigar shop with seating so you can enjoy"
1,-,"Wasn't any where McDonalds. Was a whole 25 miles away.  I'm assuming they do good
though"
3,-,Who doesn't want an Audi. Sadly they just didn't have the vehicle I was looking for.
3,-,"This is one of Springfield's best locations for events, parties, wedding receptions,  live entertainment, games, nice bar, good atmosphere, fish fry, etc. Staff is friendly and makes sure your event is memorable. They have a great kitchen setup available. Plenty of seating both inside and outside. Covered outdoor bar , stage and seating. Large Dance area inside and outside. Overall you will have a good time no matter what."
5,-,no words do thus place justice
6,-,A good Starbucks. Lots of food
6,-,"An interactive museum dedicated to Flyboy, the continuing popularity of street art.  The site is very crowded with the creative process which includes his work benches and the neighborhood. It's a challenge to find all the rooms and the various display items. Go if you have some whimsy"
6,-,"A small little locally owned spot, which has a interesting homey menu"
6,-,"Casual, special Mexican at a reasonable price"
7,-,Good place to get a safe drink outdoors.
7,-,"Good, classic Italian."
3,-,"Nice small place, walk up to the counter order and wait for it be brought to the table. Good food and more than enough."
7,-,Really good dolsot bibimbap. Unfortunately the owner said they are closing in a month due to landlords not renewing lease.
2,-,Viewssss! Air traffic is insane here!
3,-,Really nice upscale bakery and cafe.  Nice selection of French pastries. Speciality sandwiches.
4,-,Nice place to hang out
4,-,Great fried shrimp
3,-,Wanted to grab a quick bite to eat so we elected to sit in the bar and order foods. Service was prompt and friendly. Nice relaxing decor in a comfortable setting. Food arrived in a reasonable amount of time. Food looked good and tasted great. For three of us to order 3 appetizers and a burger was only $40. Not bad.
5,-,Amazing collection of items. Great lighting
5,-,Nice neighborhood bar. Good staff and drink choices
3,-,It's all the same an unkept location where I only stop when it's necessary.
2,-,Red eye is nuts. Some of the best cold brew coffee in the city with locations popping up everywhere!
7,-,"One of the better Indian restaurants in the Loop, close walk from Michigan Ave."
4,-,"This new thick fish is going on, Wow"
4,-,Wide variety
3,-,"Enjoy stopping at this mall while in town. There are several unique smaller shops, anchored by Nordstrom seems like we always end up at this location which is one of the primary stores of my wife likes to shop at. Makes it easy for me since Nordstrom has a very nice coffee shop. I can sit back and enjoy a coffee, play on WiFi and relax while she shops"
3,-,Beautiful location!!! The view was amazing even on a foggy night.
9,-,"Brand new building, friendly staff"
5,-,A very surprising hidden gem. Amazing people watching too
7,-,"Good service and atmosphere. Had fried pickles to start, light crispy batter stands out. Went with the 3 meat sampler, tri-tip was the best choice, definitely recommended, ribs were only OK, not very meaty. Sides of corn bread and collard greens were excellent."
1,-,Help was a little rude but the restaurant was clean and nice and fast
2,-,Friendly staff great beer specials and a pool table!
6,-,GOOD pan asain food. Casual.
3,-,The only negative here is the two hour process to buy a phone.
6,-,Going downhill after a lot of improvement
9,-,"Cool spot, not as big as the other location, but still nice."
4,-,Great food as always
3,-,"I was indecisive on the four star rating. My meal in house was very good. Service was very good. The food we ordered arrived in a reasonable amount of time.  Dinner was delicious. Now my to go order was not the same experience. No butter, no sour cream for the baked potato. Ribs not at all impressive. Maybe next time?"
7,-,"Food was fine, but I had to check in a sealed bag that had food from an earlier stop. Seriously?"
7,-,"Great grocery store and not just for Asian specialties, plenty of things you would see at Mariano's or Whole Foods. Fantastic produce section. It's not enormous, but it's downtown, that's the space they have to work with."
6,-,A neigherhood bar and light eating place.  A good Latin America retail wine store
1,-,Not my place
1,-,Good but expensive
2,-,Unassuming bar with awesome music
7,-,Great quality of fish (same executive chef and suppliers as Japonais).
1,-,Get sick every time
4,-,Some really good shrimp
6,-,A fun place for kids.  Worth it
6,-,"A little small, three tables"
7,-,"Pizza was decent, good service, will have to try pierogis next time. Beer selection was nice."
8,-,"Great beer selection, and the food was tasty.  I wish there was a little more corned beef on the Rueben for the price."
4,-,Wonderful time
6,-,One of the better Spanish tapas restaurants. Not pretentious with good food at reasonable prices
4,-,Beautiful place to have a great time
5,-,"In the theme of a true Irish bar, a fireplace always adds to the flavor of your food and drink."
6,-,A good bar with average bar food despite claims
6,-,A convienant congregation in the loop. Beautiful main alter
4,-,They do Mt Hebron right every year
3,-,We decided to try this place found it on the internet via Google. Stopped in it is a walk up to the counter place your order type of Deli. Plenty to choose from including pastas salads and a variety of deli meats and sandwiches wraps. The decor is pretty nice inside its 50s diner atmosphere. Food served to you at the cash register pick your seat and enjoy the pretty decent sandwich.
7,-,"Meatballs and pasta were good, average pizza."
4,-,Nice cozy place to hang out with friends
3,-,Quick nail trin for the puppy.
9,-,Cool spot for dinner and a movie in one.
7,-,Tastes like home cooked.
6,-,A comfortable place with a full menu. I didnt care for the pizza.  It doesn't lend itself to the traditional types of chicago
7,-,Fine if you know what you are looking for. Spartan showroom.
3,-,"Nice Veterinary Clinic. I would have gave 5 stars but I do believe the front desk Staffing could use some help. There is always a line whenever we're there. Services are great, staff is very helpful and friendly."
4,-,The black tie affair was Simply beautiful
3,-,"Meeting people here. Very nice place, decor is inviting and relaxing."
6,-,A slightly elegant spot on a street with a lot of choices.  The food was good and the wine selection was better than most.
7,-,Classic Italian in Little Italy.
7,-,"Great Scotch selection, decent fish and chips. Beers also mostly from Scotland vs. the usual Ireland/English selection at most pubs."
6,-,A convenient bar restaurant in American bistro style. If you want plain good food a handsome bar sports on tv this is the place.  Annual chili cook off and the outside seating is great.  Tourists and locals can both find something here.  In the center of the action
7,-,"Sunny side beef is good, spring rolls are pretty bland."
6,-,A old chicago spot for drinking and old style food chioces.  Always dependable and often the place for locals and out of towner. Recently has undergone a renovation.  They dont take reservations so check before you go
2,-,Watched the NCAA games here it was a really good vibe!
4,-,This was a really nice place
3,-,"Wife and I travel frequently and we came across a local restaurant. Due to the time we decided to grab a late lunch. Friendly staff, prices very reasonable. Nice menu variety. I ordered the pork tenderloin me on premises. Great choice is was so favorable and crispy. Definitely giving it a 👍 up."
1,-,Every thing about this staffing agency sucks
2,-,"Good new corner bar in Bucktown, patio will be good for summer!"
6,-,Good centrally located pub with good food choices
6,-,"Go the at least twice a year. It is a standy. Although there are toursts, its a local spot as well"
